VH-VL pair,split
7ws1_K0-J0,train
7ws2_E0-D0,train
7ws7_G0-F0,train
7ws7_K0-J0,train
7wsi_H0-L0,train
7vaf_H0-L0,train
7vag_H0-L0,train
7wt7_H0-D0,train
1ct8_B0-A0,train
1ct8_D0-C0,train
1cu4_H0-L0,train
1cr9_H0-L0,train
6mg7_H0-L0,train
7bxv_H0-L0,train
7cho_B0-C0,train
7cho_H0-L0,train
7chp_H0-L0,train
7deo_C0-C1,train
7deo_A0-A1,train
7vmu_A0-A1,train
7wqv_B0-B1,train
7wqv_D0-D1,train
7wqv_F0-F1,train
7wqv_H0-H1,train
7wqv_J0-J1,train
7wqv_L0-L1,train
7wqv_N0-N1,train
7wqv_P0-P1,train
7yue_A0-A1,train
8dz4_A0-B0,train
8dz4_C0-D0,train
8dz4_E0-F0,train
8dz4_M0-N0,train
8dz4_O0-P0,train
8dz4_S0-T0,train
8dz4_U0-V0,train
8dz4_W0-X0,train
8dz4_Y0-Z0,train
8dz4_H0-L0,train
8dz4_Q0-R0,train
6w05_H0-L0,train
6wfw_H0-L0,train
8t03_C0-D0,train
8t03_E0-F0,train
8t04_C0-D0,train
8t04_E0-F0,train
8t07_C0-D0,train
8t07_E0-F0,train
8t06_C0-D0,train
8t06_E0-F0,train
8t05_C0-D0,train
2e27_H0-L0,train
2f5a_H0-L0,train
2fb4_H0-L0,valid
2ig2_H0-L0,unassigned
2fgw_H0-L0,train
1fgv_H0-L0,train
7r40_H0-L0,train
7r40_D0-F0,train
7r40_E0-G0,train
7tr4_L0-H0,train
8gpt_D0-E0,train
8gpt_F0-G0,train
8gpt_H0-I0,train
8gpu_H0-L0,train
8gpu_F0-G0,train
8gpu_C0-D0,train
8gpu_J0-K0,train
8gpu_N0-O0,train
8gpu_Q0-R0,train
8pe9_H0-L0,train
8sau_C0-D0,train
8sau_H0-I0,train
8sau_M0-N0,train
8slb_H0-L0,train
4f9l_C1-C0,train
4f9l_D1-D0,train
7nfa_C0-A0,train
7nfa_D0-B0,train
7nc0_H0-L0,train
7nx2_B0-A0,train
7nx2_D0-C0,train
7nx3_B0-C0,train
7nx3_E0-D0,train
7qnx_A0-B0,train
7qnw_A0-B0,train
7qny_A0-B0,train
7qny_H0-L0,unassigned
7bej_H0-L0,unassigned
7bek_H0-L0,valid
7v5j_I0-H0,train
7v5j_E0-D0,train
7v5j_G0-F0,train
7v5k_E0-D0,train
7v5k_G0-F0,train
7v5k_I0-H0,train
5kg9_A0-B0,train
5kg9_H0-L0,train
6bkb_H0-L0,train
6bkd_H0-L0,train
6bla_H0-L0,train
6blh_H0-L0,test
6bli_A0-B0,train
6bli_D0-E0,train
6bli_G0-H0,train
6bli_J0-K0,train
6bp2_H0-L0,train
6g8r_A0-A1,train
6gc2_H0-L0,train
6u8k_F0-G0,train
6u8k_H0-L0,train
6u8k_D0-E0,train
6u9s_D0-E0,train
6u9s_A0-B0,train
6u9u_H0-L0,valid
6w4m_H0-L0,train
3qeg_H0-L0,train
7k8r_H0-L0,train
7k8z_H0-L0,train
7k8z_M0-N0,train
7k8s_H0-L0,unassigned
7k8s_M0-N0,unassigned
7k8s_O0-P0,unassigned
7k8t_H0-L0,unassigned
7k8t_M0-N0,unassigned
7k8t_O0-P0,unassigned
7k8o_H0-L0,test
7k8p_H0-L0,train
7k8q_H0-L0,valid
7k90_H0-L0,train
7k90_M0-N0,train
7k90_O0-P0,train
8dce_H0-H1,train
8awm_H0-L0,unassigned
8awl_H0-L0,valid
5eoc_J0-M0,train
5eoc_H0-L0,train
6cnr_H0-L0,valid
6co3_H0-L0,unassigned
6dkj_A0-B0,train
6dkj_H0-L0,train
6dlb_H0-L0,train
6dla_H0-L0,train
6dn0_A0-B0,train
4x4x_A0-B0,train
6dn0_C0-D0,train
6bgt_B0-A0,train
6dsi_A0-A1,train
6dwi_B0-A0,train
6dwi_D0-C0,train
6dwi_F0-E0,train
6dwi_J0-I0,train
6dwi_N0-M0,train
6dwi_P0-O0,train
6dwi_H0-G0,train
6dwi_L0-K0,train
7lyv_H0-L0,train
7lyv_C0-D0,train
7lyv_A0-B0,train
7lyv_E0-F0,train
7uvq_C0-B0,train
7uvq_D0-E0,train
1fj1_D0-C0,train
1fj1_B0-A0,train
4r8w_H0-L0,train
4ubd_C0-D0,train
4ubd_Y0-X0,train
4ubd_G0-H0,train
4ubd_S0-T0,train
4ubd_O0-P0,train
4ubd_K0-L0,train
7d03_H0-L0,train
7czw_H0-L0,train
7czw_J0-N0,train
7pa6_KKK1-KKK0,valid
7pa6_LLL1-LLL0,unassigned
7pa6_MMM1-MMM0,unassigned
7pa6_NNN1-NNN0,unassigned
7pa6_OOO1-OOO0,unassigned
7pa6_PPP1-PPP0,unassigned
7pa6_QQQ1-QQQ0,unassigned
7pa6_RRR1-RRR0,unassigned
7pa6_SSS1-SSS0,unassigned
7pa6_TTT1-TTT0,unassigned
7pa7_eee1-eee0,train
7pa7_bbb1-bbb0,train
7pa7_ooo1-ooo0,train
7pa7_ppp1-ppp0,train
7pa7_aaa1-aaa0,train
7pa7_ccc1-ccc0,train
7pa7_ddd1-ddd0,train
7pa7_mmm1-mmm0,train
7pa7_nnn1-nnn0,train
7pa7_qqq1-qqq0,train
7paa_ZZZ1-ZZZ0,train
7paa_KKK1-KKK0,train
7paa_aaa1-aaa0,train
7paa_bbb1-bbb0,train
7paa_ccc1-ccc0,train
7paa_ddd1-ddd0,train
7paa_eee1-eee0,train
7paa_WWW1-WWW0,train
7paa_XXX1-XXX0,train
7paa_YYY1-YYY0,train
7pa8_YYY0-FFF0,train
7pa8_HHH0-GGG0,train
7pa8_JJJ0-III0,train
7pa8_LLL0-KKK0,train
7pa8_NNN0-MMM0,train
7pa9_bbb0-aaa0,train
7pa9_ccc0-ddd0,train
7pa9_KKK0-LLL0,train
7pa9_MMM0-NNN0,train
7pa9_OOO0-PPP0,train
7pa9_QQQ0-RRR0,train
7pa9_TTT0-SSS0,train
7pa9_VVV0-WWW0,train
7pa9_XXX0-UUU0,train
7pa9_YYY0-ZZZ0,train
7pc2_O0-P0,train
7pc2_M0-N0,train
7pc2_Q0-R0,train
7lab_Y0-X0,train
7lab_T0-S0,train
7lab_H0-L0,train
7ch5_H0-L0,train
7chc_H0-L0,train
7che_H0-L0,train
7chb_H0-L0,train
7chs_H0-L0,train
7chz_H0-L0,train
7cjf_A0-B0,train
7cmk_H0-L0,train
7c81_H0-L0,train
7cn2_I0-i0,train
7cn2_J0-j0,train
7cn2_K0-k0,train
7cn2_M0-m0,train
7cn2_H0-L0,train
7cn2_G0-g0,train
7cr5_H0-L0,train
7czp_J0-N0,train
7czp_H0-L0,train
7czq_J0-N0,train
7czq_H0-K0,train
7czr_H0-K0,train
7czr_J0-N0,train
7d00_H0-K0,train
7d00_J0-N0,train
4rfo_H0-L0,train
5kjr_H0-L0,train
5x5x_H0-L0,train
4xny_H0-L0,train
4xnz_H0-L0,train
4xnz_B0-C0,train
4xnz_E0-F0,train
4xvj_H0-L0,valid
4xvt_H0-L0,unassigned
4xvs_H0-L0,test
4xxd_E0-D0,train
4xxd_B0-A0,train
4y5v_A0-B0,train
4y5v_D0-E0,train
4y5v_G0-H0,train
5mv3_A0-B0,train
5mv3_C0-D0,train
5mv3_F0-G0,train
5mv3_I0-J0,train
5mv3_O0-P0,train
5mv3_R0-S0,train
5mv3_U0-V0,train
5mv3_L0-M0,train
5mv4_A0-B0,train
5mv4_C0-D0,train
5mv4_F0-G0,train
5mv4_I0-J0,train
5mv4_L0-M0,train
5mv4_O0-P0,train
5mv4_R0-S0,train
5mv4_U0-V0,train
5mu0_A0-B0,train
5mu0_C0-D0,train
5mu0_E0-F0,train
5mu0_G0-H0,train
5mu0_I0-J0,train
5mu0_K0-L0,train
5mu0_M0-N0,train
5mu0_O0-P0,train
5mu2_A0-B0,train
5mu2_C0-D0,train
5mu2_E0-F0,train
5mu2_G0-H0,train
5mu2_I0-J0,train
5mu2_K0-L0,train
5mu2_M0-N0,train
5mu2_O0-P0,train
5mub_A0-B0,train
5mub_C0-D0,train
5mub_I0-J0,train
5mub_L0-M0,train
5mub_O0-P0,train
5mub_U0-V0,train
5mub_F0-G0,train
5mub_R0-S0,train
7rco_D0-C0,train
7rco_F0-E0,train
6xm2_B0-A0,train
6xm2_D0-C0,train
6xm2_F0-E0,train
6xm2_H0-G0,train
7rd3_H0-L0,train
7rd3_A0-B0,train
7rd4_A0-B0,train
7raj_H0-L0,train
7rd4_H0-L0,train
7rda_H0-L0,train
7rdk_B0-A0,train
7rdj_B0-A0,train
7rdl_D0-C0,train
7rdl_B0-A0,train
7rdm_B0-A0,train
7re7_I0-J0,train
7re7_H0-L0,train
7re9_H0-L0,train
7re9_A0-B0,train
7rfb_H0-L0,train
7rfb_A0-B0,train
7rk1_D0-D1,train
7rk1_C0-C1,train
6oo0_H0-L0,train
6ot1_H0-L0,train
6ot1_A0-C0,train
6ot1_M0-N0,train
6n16_A0-B0,train
6n16_K0-J0,train
6n16_C0-D0,train
6n16_H0-L0,train
6udj_D0-E0,train
6udj_H0-I0,train
6udj_N0-O0,train
8ag1_h0-l0,train
8ag1_H0-L0,train
7jv6_H0-L0,train
7jv6_C0-D0,train
7jv6_F0-G0,train
7jv2_H0-L0,train
7jv4_F0-G0,train
7jv4_D0-E0,train
7jv4_H0-L0,train
7rqq_H0-L0,test
7rr0_B0-C0,train
7rt9_C0-D0,test
7rt9_A0-B0,unassigned
7rta_H0-L0,unassigned
7ru3_H0-L0,train
7ru4_H0-L0,train
7rw2_H0-L0,train
7rw2_G0-J0,train
7rw2_I0-K0,train
7r9d_H0-L0,train
7rxc_H0-L0,train
7rxi_H0-L0,test
7rxj_H0-L0,train
7rxj_A0-B0,train
7rxl_C0-D0,unassigned
7rxl_H0-L0,test
7rxp_H0-L0,train
7ryv_E0-F0,train
7ryv_H0-L0,train
7ryv_I0-J0,train
7ryv_P0-Q0,train
7s07_H0-L0,unassigned
7s0j_H0-L0,test
7s08_H0-L0,train
7s08_A0-B0,train
7s1b_H0-L0,train
7s0b_C0-D0,train
7s0b_A0-B0,train
7s0c_M0-N0,train
7s0c_H0-L0,train
7s0d_H0-L0,train
7s0d_M0-N0,train
7s0d_O0-P0,train
7s0x_C0-D0,train
7s0x_H0-L0,train
7s13_I0-M0,train
7s13_H0-L0,train
7s1b_X0-Y0,train
7s07_X0-Y0,train
8hn7_D0-C0,train
8hn7_B0-A0,train
8hsc_F0-E0,train
8hs2_B0-C0,train
8tco_E0-D0,train
8tco_F0-G0,train
8tea_H0-G0,train
8tea_F0-I0,train
8ucd_H0-L0,train
3w2d_H0-L0,train
7b0b_H0-L0,train
4g6m_H0-L0,train
4g6k_H0-L0,train
4mau_H0-L0,train
7u5g_H0-L0,train
5yfi_H0-L0,train
5ywy_H0-L0,train
6wo5_C0-D0,train
6wo5_A0-B0,train
6wo5_G0-I0,train
6wo5_H0-L0,train
6wor_H0-L0,train
6woz_E0-F0,train
6woz_B0-C0,train
6woz_H0-I0,train
6woz_K0-L0,train
6wqo_B0-C0,train
6wqo_E0-F0,train
6wrp_H0-L0,train
6wtu_K0-L0,train
6wtu_B0-C0,train
6wtu_E0-F0,train
6wtu_H0-I0,train
6wtv_B0-C0,train
6wtv_H0-I0,train
6wtv_K0-L0,train
6wtv_E0-F0,train
6wty_E0-F0,train
6wty_B0-C0,train
6wty_K0-L0,train
6wty_H0-I0,train
6wvz_H0-L0,train
6ww5_E0-F0,train
6ww5_C0-D0,train
6wx1_H0-L0,train
6wxl_H0-L0,train
6wxl_F0-E0,train
6wxl_K0-J0,train
6wyr_I0-M0,train
6wyr_H0-L0,train
6wyt_H0-L0,test
6x1u_A0-B0,train
6x1u_H0-L0,train
7kx4_D0-A0,train
7kx4_B0-C0,train
7l7r_B0-A0,train
7kyl_X0-Y0,train
7kyl_H0-L0,train
7kyo_H0-L0,train
7kza_H0-L0,train
7kzb_A0-B0,train
7l0l_H0-L0,train
7l0l_G0-J0,train
7l0l_I0-K0,train
7l2e_H0-L0,train
7l2e_I0-K0,train
7l2e_G0-J0,train
3utz_B0-A0,train
3utz_C0-D0,train
3utz_F0-E0,train
6xq4_E0-F0,train
6xq4_C0-B0,train
6xqw_H0-L0,train
6xr0_H0-L0,train
6xrj_A0-B0,train
6xrj_C0-D0,train
6xrj_E0-F0,train
6xrj_H0-L0,train
6vtu_H0-L0,train
6xud_H0-L0,train
6xtg_H0-L0,train
6xuk_H0-L0,train
6xul_A0-B0,train
6xul_C0-D0,train
6xul_E0-F0,train
6xul_G0-I0,train
6xul_J0-K0,train
6xul_H0-L0,train
6xun_H0-L0,train
6xun_A0-B0,train
6xun_C0-D0,train
6xxv_D0-E0,train
6xxv_A0-B0,train
6xy2_H0-L0,train
6xzw_H0-L0,train
6y1n_H0-L0,train
1ghf_H0-L0,train
1rih_H0-L0,train
3ux9_B1-B0,train
3ux9_D1-D0,train
5f6i_B0-C0,train
5myk_B0-A0,train
5my4_B0-A0,train
5myo_D0-C0,train
5myo_B0-A0,train
7bbj_M0-N0,train
7bbj_H0-L0,train
7bnv_H0-L0,train
7nks_C0-D0,train
7nks_H0-L0,train
7np1_J0-N0,train
7np1_K0-O0,train
7np1_H0-L0,train
7np1_I0-M0,train
2q8b_H0-L0,train
2q8a_H0-L0,train
2qhr_H0-L0,train
2qql_H0-L0,train
2qqk_H0-L0,train
2qqn_H0-L0,valid
2qr0_B0-A0,train
2qr0_F0-E0,train
2qr0_H0-G0,train
2qr0_L0-K0,train
2qr0_N0-M0,train
2qr0_R0-Q0,train
2qr0_T0-S0,train
2qr0_X0-W0,train
2qsc_H0-L0,train
2r29_H0-L0,train
2r4r_H0-L0,train
2r4s_H0-L0,train
3kj6_H0-L0,train
2r56_I0-M0,train
2r56_H0-L0,train
2r8s_H0-L0,train
8dtt_E0-F0,unassigned
8dtt_A0-B0,valid
3ojd_B0-A0,train
3u0w_H0-L0,train
8epa_H0-L0,train
8epa_A0-B0,train
8erq_H0-L0,train
8err_H0-L0,train
8err_E0-F0,train
8err_I0-J0,train
8f0g_X0-Y0,train
8fbw_A0-B0,train
8fbw_C0-D0,train
8fz2_H0-L0,train
8fxj_H0-L0,train
8h3n_D0-E0,train
8hpk_H0-L0,train
8ivx_H0-L0,train
8j1t_H0-K0,train
8j1v_H0-K0,train
8j1v_C0-D0,train
8j1v_F0-G0,train
8scx_H0-L0,train
8e1m_H0-L0,train
8tp7_D0-F0,train
8tp7_E0-G0,train
8tp7_H0-L0,train
1kfa_I0-M0,train
1kfa_H0-L0,train
4g7y_H0-L0,train
4g7v_H0-L0,train
7te1_H0-L0,train
7te1_C0-F0,train
7te4_H0-L0,train
7te4_B0-A0,train
7tht_H0-L0,train
7tht_a0-c0,train
7tht_d0-b0,train
7tjq_A0-B0,train
7tjq_D0-E0,train
7tjq_H0-L0,train
3wkm_I0-M0,train
3wkm_H0-L0,train
5h35_A0-B0,train
5h35_H0-I0,train
5h35_F0-G0,train
5hbt_D0-C0,train
5hbv_D0-C0,train
5xhv_P0-Q0,train
5xhv_H0-L0,train
5xmh_D0-C0,train
5xmh_H0-L0,train
5xqw_H0-L0,train
5y11_A0-B0,valid
5y9c_H0-L0,train
5y9f_N0-M0,train
5y9f_b0-a0,train
5y9f_V0-U0,train
5y9f_L0-K0,train
5y9f_P0-O0,train
5y9f_R0-Q0,train
5y9f_T0-S0,train
5y9f_d0-c0,train
5y9f_X0-W0,train
5y9f_Z0-Y0,train
5yax_B0-B1,train
5yax_A0-A1,train
5ye4_C0-D0,train
5ye4_A0-B0,train
7x66_H0-L0,train
7x63_H0-L0,train
8doz_C0-D0,train
8doz_A0-B0,train
3tje_H0-L0,test
4tqe_H0-L0,train
4tpr_H0-L0,train
4trp_H0-L0,train
4tuj_A0-B0,train
4tuj_C0-D0,train
4tuk_H0-L0,train
4tul_H0-L0,train
4tuo_A0-B0,train
4tuo_C0-D0,train
4tsb_H0-L0,train
4tsc_H0-L0,train
4tsa_H0-L0,train
4ttd_H0-L0,train
4ttd_C0-D0,train
4u1g_B0-C0,train
4u1g_E0-F0,train
4u6h_C0-D0,train
4u6h_A0-B0,train
4u6v_K0-M0,train
4u6v_H0-L0,train
4uao_C0-B0,train
4uil_H0-L0,train
4uik_H0-L0,train
4uim_A0-B0,train
4uim_C0-D0,train
4uim_E0-F0,train
4uim_H0-L0,train
4uin_H0-L0,train
4ut6_I0-M0,train
4ut6_H0-L0,train
4uu9_A0-B0,unassigned
4uu9_H0-L0,valid
4uv4_H0-L0,train
4uv7_H0-L0,train
6wos_H0-L0,train
6bkc_H0-L0,train
7jie_C0-D0,train
7jie_E0-F0,train
7jkm_H0-L0,test
7jks_H0-L0,train
7jkt_H0-L0,train
7jln_A0-B0,train
7jmo_H0-L0,train
7jmp_H0-L0,train
7joo_H0-L0,train
7jr7_C0-D0,train
7bz5_H0-L0,train
7ukm_X0-Y0,train
7ukm_H0-L0,train
7ukm_M0-N0,train
8gye_E0-F0,train
8gye_B0-C0,train
7ahu_B0-A0,train
7ahu_H0-L0,train
7ahv_A0-B0,train
7aj6_H0-L0,valid
7amq_H0-L0,train
7amp_H0-L0,train
7ams_H0-L0,train
7amr_H0-L0,train
7aql_B0-B1,train
7aql_A0-A1,train
7aql_C0-C1,train
7aql_D0-D1,train
7arn_H0-L0,valid
7aue_S0-S1,train
7p00_H0-H1,train
7p02_H0-H1,train
7xk2_S0-S1,train
8hpt_H0-H1,train
6qnk_B0-A0,train
6qnk_D0-C0,train
7vug_S0-S1,train
7vuy_S0-S1,train
7vuz_S0-S1,train
7vv3_S0-S1,train
7vv5_S0-S1,train
7w0p_S0-S1,train
7w2z_S0-S1,train
7w3z_H0-H1,train
7w40_H0-H1,train
7w53_E0-E1,train
7w55_E0-E1,train
7w56_E0-E1,train
7w57_E0-E1,train
7w7e_H0-H1,train
7yfc_C0-C1,train
8g05_E0-E1,train
8fx5_H0-H1,train
8jz7_S0-S1,train
8k4n_E0-E1,train
8sai_S0-S1,train
8tb0_F0-F1,train
7o7f_H0-F0,train
8f7w_E0-E1,train
8j6d_H0-H1,train
7yj4_S0-S1,train
7yk6_S0-S1,train
7yk7_S0-S1,train
8feg_F0-F1,train
8hnk_S0-S1,train
8hnl_S0-S1,train
8hnm_S0-S1,train
8j6p_S0-S1,train
8j6q_S0-S1,train
8j6r_S0-S1,train
8jlq_S0-S1,train
8jlr_S0-S1,train
8w8b_E0-E1,train
7f4f_S0-S1,train
7f4h_S0-S1,train
7f8w_D0-D1,train
7f9z_E0-E1,train
7yfd_C0-C1,train
7x1u_D0-D1,train
7x2v_E0-E1,train
7x5h_E0-E1,train
7w6p_H0-H1,train
7y26_D0-D1,train
8e9w_E0-E1,train
8e9x_E0-E1,train
8e9y_E0-E1,train
8e9z_E0-E1,train
8hs3_S0-S1,train
8ibv_E0-E1,train
8ium_E0-E1,train
8jso_S0-S1,train
7s8p_E0-E1,train
7t10_S0-S1,train
7t11_S0-S1,train
7trk_H0-H1,train
7x9y_S0-S1,train
7xa3_E0-E1,train
7xat_E0-E1,train
7xau_E0-E1,train
7xav_E0-E1,train
7xbd_E0-E1,train
7t94_E0-E1,train
7t96_E0-E1,train
8efb_E0-E1,train
8f7r_E0-E1,train
8id8_S0-S1,train
8jii_S0-S1,train
8jln_S0-S1,train
6xbm_S0-S1,train
7t8x_E0-E1,train
7t90_E0-E1,train
7t6u_E0-E1,train
8jzz_H0-H1,train
8ef6_E0-E1,train
8efo_E0-E1,train
8eit_E0-E1,train
8ejk_E0-E1,train
7um5_E0-E1,train
7um6_E0-E1,train
7um7_E0-E1,train
6oij_H0-H1,train
6omm_E0-E1,train
7dfl_C0-C1,train
8hqe_H0-H1,train
7e9g_D0-D1,train
7eb2_N0-N1,train
7ej0_H0-H1,train
7ej8_H0-H1,train
7ejk_H0-H1,train
7ejx_S0-S1,train
7eo2_E0-E1,train
7eo4_E0-E1,train
7eq1_S0-S1,train
7ys6_E0-E1,train
7yu3_S0-S1,train
7yu5_S0-S1,train
7yu6_S0-S1,train
8hvi_H0-H1,train
8iy5_E0-E1,train
8ihj_S0-S1,train
8irs_E0-E1,train
8iru_E0-E1,train
8iw1_S0-S1,train
8iw4_S0-S1,train
8iys_E0-E1,train
8j18_S0-S1,train
8j1a_S0-S1,train
8jd6_D0-D1,train
8jim_S0-S1,train
7xwo_E0-E1,train
7t6v_E0-E1,train
7xjj_S0-S1,train
7xjk_E0-E1,train
7xms_S0-S1,train
7xmt_S0-S1,train
7xow_E0-E1,train
7xox_E0-E1,train
8i95_H0-H1,train
8i97_H0-H1,train
8i9l_H0-H1,train
8i9s_H0-H1,train
8iuk_E0-E1,train
8g59_S0-S1,train
8g94_E0-E1,train
8ghv_S0-S1,train
7s8l_E0-E1,train
7s8m_E0-E1,train
7s8n_E0-E1,train
7s8o_E0-E1,train
7sbf_E0-E1,train
7scg_E0-E1,train
8ia2_H0-H1,train
6xbk_S0-S1,train
6pt0_E0-E1,train
8gut_S0-S1,train
8id9_S0-S1,train
8wrb_E0-E1,train
7wq3_S0-S1,train
8efl_E0-E1,train
8fn1_E0-E1,train
8guq_S0-S1,train
8h0p_E0-E1,train
8hcq_E0-E1,train
8id6_S0-S1,train
8iw9_S0-S1,train
8jil_S0-S1,train
7wf7_E0-E1,train
7wig_S0-S1,train
7wkd_E0-E1,train
8sg1_E0-E1,train
7qvm_S0-S1,train
7ra3_E0-E1,train
7ran_E0-E1,train
7rbt_E0-E1,train
7tuz_E0-E1,train
6dde_E0-E1,train
7vl9_S0-S1,train
7vla_S0-S1,train
8thl_F0-F1,train
7v68_S0-S1,train
7v69_S0-S1,train
7vdh_S0-S1,train
7vdl_S0-S1,train
7vdm_S0-S1,train
7vfx_S0-S1,train
7vgx_S0-S1,train
7vgy_E0-E1,train
7vgz_F0-F1,train
7vh0_E0-E1,train
7vie_E0-E1,train
7vif_E0-E1,train
7vig_E0-E1,train
7vih_E0-E1,train
7vkt_E0-E1,train
7vl8_S0-S1,train
7kh0_S0-S1,train
7sqo_E0-E1,train
7sr8_E0-E1,train
7srr_E0-E1,train
7dw9_S0-S1,train
7e32_E0-E1,train
7e33_E0-E1,train
8hk2_H0-H1,train
7cmu_E0-E1,train
7cmv_E0-E1,train
8gus_S0-S1,train
8h0q_E0-E1,train
8hcx_E0-E1,train
8hj5_C0-C1,train
8ic0_E0-E1,train
8id4_S0-S1,train
8ihb_S0-S1,train
8ihh_S0-S1,train
8ihi_S0-S1,train
7evy_E0-E1,train
7rg9_E0-E1,train
7rgp_E0-E1,train
7rkm_D0-D1,train
7rkx_D0-D1,train
7y24_S0-S1,train
8dwc_E0-E1,train
8dwg_E0-E1,train
8dzp_E0-E1,train
8dzr_E0-E1,train
8dzs_E0-E1,train
8h8j_H0-H1,train
8hqm_H0-H1,train
7d77_S0-S1,train
7db6_E0-E1,train
7yon_S0-S1,train
7yoo_S0-S1,train
7ryc_E0-E1,train
8dzq_E0-E1,train
8hqn_H0-H1,train
7y1f_E0-E1,train
8dpf_E0-E1,train
8dph_E0-E1,train
8dpi_E0-E1,train
8ejc_E0-E1,train
8f7x_E0-E1,train
8gur_S0-S1,train
8h2g_E0-E1,train
8hbd_H0-H1,train
8id3_S0-S1,train
8j19_S0-S1,train
8jlj_S0-S1,train
8jlk_S0-S1,train
7na7_N0-N1,train
7na8_N0-N1,train
8hk3_H0-H1,train
7xta_E0-E1,train
7xw9_S0-S1,train
7xxh_H0-H1,train
7y12_S0-S1,train
7y15_S0-S1,train
7y64_S0-S1,train
7y65_S0-S1,train
7y66_S0-S1,train
7y67_S0-S1,train
6lfm_S0-S1,train
6lfo_S0-S1,train
6wha_E0-E1,train
6wwz_S0-S1,train
7l1v_H0-H1,train
6os9_D0-D1,train
6xox_E0-E1,train
7trp_H0-H1,train
7trq_H0-H1,train
7trs_H0-H1,train
7ts0_H0-H1,train
7xjl_E0-E1,train
7wic_S0-S1,train
7y27_D0-D1,train
8ef5_E0-E1,train
8f7q_E0-E1,train
8ia7_E0-E1,train
8ihf_S0-S1,train
8itf_S0-S1,train
8iul_E0-E1,train
8jhy_S0-S1,train
8thk_F0-F1,train
8wpu_E0-E1,train
7y89_S0-S1,train
7yac_S0-S1,train
7ydh_E0-E1,train
7ydj_E0-E1,train
6crk_H0-H1,train
6n4b_S0-S1,train
7t2h_E0-E1,train
7t6b_E0-E1,train
7t6s_E0-E1,train
7l1u_H0-H1,train
8irt_E0-E1,train
7jhj_D0-D1,train
7jvr_E0-E1,train
7b3o_H0-L0,train
7bbg_H0-L0,train
7beh_H0-L0,train
7kn7_H0-L0,train
7kn6_H0-L0,train
8gf2_C0-D0,train
8gf2_E0-F0,train
6xc4_H0-L0,train
6xc4_X0-Y0,train
6xc7_C0-D0,train
7kpb_H0-L0,train
7kpg_H0-L0,test
1fgn_H0-L0,train
1ahw_B0-A0,train
1ahw_E0-D0,train
1fh5_H0-L0,train
1fig_H0-L0,train
1rur_H0-L0,train
1a3l_H0-L0,train
1ruq_H0-L0,train
1rz7_H0-L0,train
4dvr_H0-L0,train
3jwd_H0-L0,train
3jwd_P0-O0,train
1rz8_B0-A0,train
1rz8_D0-C0,train
2nxy_D0-C0,train
2nxz_D0-C0,train
2ny0_D0-C0,train
2ny1_D0-C0,train
2ny2_D0-C0,train
2ny3_D0-C0,train
2ny4_D0-C0,train
2ny5_H0-L0,train
2ny6_D0-C0,train
1rzj_H0-L0,train
1rzk_H0-L0,train
2i5y_H0-L0,train
2i5y_R0-Q0,train
2i60_H0-L0,train
2i60_R0-Q0,train
4jm2_D0-C0,train
1g9m_H0-L0,train
1g9n_H0-L0,train
1gc1_H0-L0,train
1yyl_H0-L0,train
1yyl_R0-Q0,train
6opo_H0-L0,train
6opo_O0-K0,train
6opo_I0-E0,train
1ub5_H0-L0,train
1ub5_A0-B0,train
3cfc_H0-L0,train
1ub6_H0-L0,train
1ub6_A0-B0,train
1fl3_H0-L0,train
1fl3_A0-B0,train
3cfb_H0-L0,train
3cfb_B0-A0,train
7cm4_H0-L0,train
7cqc_H0-L0,train
6icc_H0-L0,train
6al0_H0-L0,train
4yny_A0-B0,train
4yny_C0-D0,train
7cqd_H0-L0,train
7cqd_I0-M0,train
6al1_H0-L0,train
4yo0_A0-B0,train
4yo0_C0-D0,train
7oo2_C0-D0,train
7oo2_A0-B0,train
7or9_A0-B0,unassigned
7nx6_A0-B0,valid
7nx7_A0-B0,unassigned
7nx8_A0-B0,unassigned
7nx9_A0-B0,unassigned
7nxa_A0-B0,unassigned
7nxb_A0-B0,unassigned
7q9g_H0-L0,unassigned
7q9g_E0-F0,unassigned
7or9_H0-L0,train
7ora_A0-B0,train
7ora_D0-E0,train
7pry_A0-B0,train
7pry_F0-G0,train
8bcz_C0-D0,train
7bel_A0-B0,train
7bel_C0-D0,train
7ora_F0-G0,train
7ora_H0-L0,train
7orb_H0-L0,train
7orb_C0-D0,train
7ben_H0-L0,train
7ben_D0-F0,train
7beo_H0-L0,train
7beo_C0-D0,train
7nd9_H0-L0,train
7nda_H0-L0,train
7orb_A0-B0,train
7orb_E0-F0,train
7ben_A0-B0,train
7ben_G0-I0,train
7beo_A0-B0,train
7beo_E0-F0,train
7ox1_E0-F0,train
7ox1_H0-L0,train
7ox1_A0-B0,train
7ox1_C0-D0,train
7ox4_A0-B0,train
7oxn_H0-K0,unassigned
7ow1_H0-K0,valid
8dok_C0-D0,train
8dok_G0-H0,train
8dok_K0-L0,train
8g6u_C0-D0,train
8g6u_G0-H0,train
8g6u_K0-L0,train
8ttw_C0-D0,train
8ttw_K0-L0,train
8ttw_G0-H0,train
4p9h_H0-L0,train
4p9m_H0-L0,train
8czz_C0-D0,train
8czz_G0-H0,train
8czz_K0-L0,train
8gpj_A0-C0,train
